brand,channel,date,forecast,latency_A_s,latency_B_s,reco_A,reco_B
COCA COLA,DVH_EXCL_HD,2025-09-01,5534690.97365,9.098264585016295,11.529429958027322,"• Protect and extend weighted distribution by +2pp (from 0.87 to 0.89) in DVH_EXCL_HD by end of August 2025 — weighted_dist is a top-5 SHAP driver (+0.58) and incremental shelf presence at this stage of the demand curve will directly support the forecasted 5.53M unit volume in September.

• Lock in replenishment and logistics capacity to cover at least 5,534,691 units for September 2025 delivery by mid-August 2025 — lag_1 (SHAP=+2.69, value=4.5M) and both rolling means (13-week: 4.75M, 4-week: 4.77M) all point to sustained upward momentum, signalling a structural step-up in baseline demand rather than a one-off spike.

• Maintain current promotional intensity (avoid deep discounting) through September 2025 — the rolling_mean_13 and rolling_mean_4 values are converging near 4.75M and are the second and third strongest drivers, indicating robust organic demand; reallocating promo budget toward in-store visibility (e.g., secondary placement or chiller facings) will defend the forecast without eroding margin.","• Stabilise volume floor in DVH_EXCL_HD by locking in weighted distribution at or above the current 0.87 level through September 2025 — the forecast of 5.53M units is momentum-driven (lag_1 and rolling means account for the three largest SHAP contributions), meaning any distribution slip in this secondary channel (55% of brand volume) would disproportionately erode the baseline; secure shelf contracts with the top-30 DVH accounts by August 2025 to protect this floor.

• Introduce a targeted promotional pulse of 8–10% price reduction on high-velocity SKUs in DVH_EXCL_HD for a 3-week window in mid-August 2025 — Coca-Cola's high volatility (CV=0.64) signals demand is sensitive to short-term activation; as a #1-ranked mass-market brand at 1.3x category median, modest price-led promotions in this channel generate outsized volume response without threatening premium equity, and a well-timed pre-September push can lift the 5.53M forecast by an estimated 4–6% (~220–330K incremental units).

• Deploy a secondary placement (e.g. chilled end-of-aisle or checkout cooler) in at least 25 additional DVH_EXCL_HD outlets by 1 September 2025 — the stable +3.8% momentum trend is positive but modest for a #1 mass-market brand; given that brand_mean_sales (SHAP=+0.58) and weighted_dist (SHAP=+0.58) are co-equal marginal drivers, incremental physical availability gains in this secondary channel carry direct volume upside and are the highest-ROI lever available at this scale and price tier."
HARBOE,TOTAL_DISCOUNT,2025-10-01,3600380.7865149095,9.379065875022206,12.405599874968175,"• Protect distribution weight in TOTAL_DISCOUNT by maintaining ≥95% SKU availability across key discount retailers (e.g., Netto, Lidl, Rema 1000) through October 2025 — lag_1 (SHAP=+2.84, value=4.3M units) is the dominant forecast driver, signalling that October volume is heavily anchored to September's strong baseline; any distribution gaps or out-of-stocks will directly erode this momentum.

• Reduce promotional depth by 10–15pp (e.g., from ~30% to 15–20% discount mechanic) for October 2025 — rolling_mean_4 (SHAP=+1.47, value=4.9M units) and rolling_mean_13 (SHAP=+1.58, value=4.1M units) both confirm sustained organic demand strength over the past 4 and 13 weeks; heavy promotional investment is not needed to hit the 3.6M unit forecast and margin can be recovered without volume risk.

• Reallocate freed promotional budget toward a targeted assortment expansion of 1–2 high-velocity HARBOE SKUs (e.g., value-tier multipacks) in TOTAL_DISCOUNT by end of October 2025 — brand_mean_sales (SHAP=+0.67, value=2.65M units) indicates a solid brand-level baseline, but the forecast of 3.6M sits notably below the rolling_mean_4 peak of 4.9M, suggesting untapped headroom that incremental SKU breadth in the discount channel can capture.","• Secure promotional slot continuity in TOTAL_DISCOUNT for October 2025 by locking in at least 3 promotional activations (e.g. multi-pack price mechanics or shelf-end placements) before end of August 2025 — the forecast of 3.6M units represents a meaningful deceleration from the lag_1 value of 4.3M and rolling_mean_4 of 4.9M, signalling momentum is softening; for a value-tier mass-market brand (0.4x category median, rank #2) in a volatile channel (CV=0.76), price-driven promotional frequency is the primary volume lever to defend against this pullback.

• Increase facing count or secondary placement by 10% across the top-30 highest-volume TOTAL_DISCOUNT doors by mid-September 2025 — with 43% of brand volume concentrated in this secondary channel and a +26.3% recent momentum trend at risk of reverting (lag_3 at 6.2M vs forecast 3.6M suggests a sharp sequential decline), physical availability amplification is critical to sustain trial and repeat at the value end; mass-market positioning means visibility ROI outweighs margin investment for this brand.

• Introduce a volume-committed ranging agreement with the top-5 TOTAL_DISCOUNT buying groups by 1 September 2025, targeting a 5pp increase in SKU distribution breadth — the brand_mean_sales SHAP contribution (+0.67, value 2.65M) indicates structural baseline demand is solid, but high volatility (CV=0.76) creates ranging risk; locking in forward commitments stabilises the forecast floor and reduces the downside scenario where discount retailers de-list or reduce shelf space during a softer October period."
PEPSI,CONVENIENCE,2025-11-01,306189.0494779366,8.748574375058524,12.311065083020367,"• Protect distribution weight at ≥88% in Convenience by October 31, 2025 — weighted_dist is a top-5 SHAP driver (+0.50) at a current value of 0.88; any slippage below this threshold risks compounding downside on a forecast already stepping down ~17% from the lag_1 value of 370,805 units to 306,189 units.

• Activate a targeted promotional push of 10–15% price reduction on core Pepsi SKUs in Convenience for the first two weeks of November 2025 — the gap between rolling_mean_4 (422,250 units) and the November forecast (306,189 units) signals a meaningful near-term volume softening; a short-burst promo can partially close this ~27% shortfall without eroding long-term price positioning.

• Prioritize top-selling Pepsi assortment (single-serve and impulse formats) to capture at least 90% on-shelf availability in Convenience by November 1, 2025 — brand_mean_sales SHAP of +0.53 with a value of 2,253,939 confirms strong brand-level baseline demand; ensuring full assortment presence in the impulse-driven Convenience channel will help convert ambient brand equity into incremental units against the softening seasonal trend indicated by rolling_mean_13 (382,340 units).","• Stabilise convenience channel volume by locking in a minimum 2-unit facing standard across the top-30 highest-velocity convenience locations before November 2025 — weighted distribution is already a positive SHAP driver (0.50, value=0.88) but the channel represents only 6% of brand volume, meaning small execution gaps cause outsized volatility (CV=0.72); securing shelf presence floors the forecast at the 306K unit level and protects the +9.8% momentum from reverting.

• Introduce a high-frequency, low-depth promotional mechanic (e.g. 2-for-1 or meal-deal bundle) in convenience by end of October 2025, targeting a +8% volume uplift to ~330K units — lag_1 (SHAP=+2.45, prior period=370K units) and rolling means (4-week: 422K; 13-week: 382K) both sit materially above the November forecast, signalling a downward drift that a short-cycle promo can arrest; as a mass-market mid-price brand (1.3x median), price-linked mechanics outperform visibility-only interventions in convenience impulse channels.

• Reduce SKU fragmentation to the top 3 convenience-optimised pack formats (e.g. 500ml single, 1L grab, multipack) by November 2025 to cut execution complexity and lower volume volatility — with CV=0.72 and brand_mean_sales (SHAP=+0.53) anchoring the forecast to a high baseline of 2.25M units cross-channel, rationalising the convenience assortment will concentrate velocity on proven movers, improving forecast accuracy and reducing the risk of stockouts that disproportionately hurt a peripheral channel where replenishment cycles are shorter."
FAXE KONDI,DVH_EXCL_HD,2025-12-01,5124592.663759321,10.615617625997402,12.896562582056504,"• Secure and expand distribution weight by +3pp (from 0.86 to ~0.89) in DVH_EXCL_HD by November 15, 2025 — weighted_dist is the 4th-ranked SHAP driver (+0.50) and with structural demand running ~85% above brand_mean_sales (3.2M vs. 1.7M rolling), incremental shelf presence will directly convert elevated consumer pull into captured volume ahead of the December peak.

• Lock in sufficient stock allocation to cover at least 5,124,593 units for December 2025 delivery, with a 10% buffer (≈5,637,000 units) confirmed with logistics by November 20, 2025 — lag_1 (SHAP=+2.69, value=2.84M) and both rolling averages (13-week: 3.16M; 4-week: 3.20M) confirm sustained structural uplift, not seasonal noise, making a stock-out the primary risk to realising the forecast.

• Reduce promotional depth by 5pp (e.g., from ~20% to ~15% discounted volume) for December 2025 — the 13-week rolling mean (SHAP=+1.57, value=3.16M) and 4-week rolling mean (SHAP=+1.42, value=3.20M) signal strong organic demand momentum; maintaining heavy promotional spend is unnecessary and margin can be recaptured without volume loss during this structurally elevated period.","• Lock in promotional display agreements with top-30 DVH_EXCL_HD accounts by 2025-11-01 to capture the structural demand uplift — the forecast of 5.1M units (+2.73 z-score) is driven by sustained momentum across 4-, 13-week rolling averages (SHAP +1.42/+1.57), and as a mass-market #4 brand at 1.3x category median, FAXE KONDI's volume is highly responsive to in-store activation; securing floor/aisle displays now converts the momentum signal into durable sell-through rather than a one-period spike.

• Increase weighted distribution in DVH_EXCL_HD by 3pp (from 0.86 to 0.89 coverage) before 2025-11-15, prioritising mid-size convenience and petrol forecourt outlets — weighted_dist (SHAP +0.50) is already a positive driver but headroom remains; given this is a secondary channel representing 56% of brand volume with high volatility (CV=0.69), closing the remaining distribution gap now while momentum is elevated will structurally floor the baseline and reduce downside risk in subsequent months.

• Implement a volume-buffer stock plan with key DVH_EXCL_HD wholesalers targeting +8% safety stock uplift for December delivery windows, confirmed by 2025-11-10 — the CV=0.69 volatility profile means the 5.1M unit forecast carries meaningful variance; with lag_1 at 2.84M (SHAP +2.69) as the dominant driver, a demand correction in January is plausible if supply constraints dampen December performance, and pre-positioning inventory protects the mass-market volume base without requiring price concessions that would erode the 1.3x mid-market price positioning."
FANTA,TOTAL_DISCOUNT,2026-01-01,384623.78765,9.642082831996959,11.811419542005751,"• Lock in shelf space agreements with top-3 discount retailers (e.g., Netto, Rema 1000, Lidl) for a minimum 5% volume commitment increase by December 2025 — lag_1 (SHAP=+2.54, value=1,295,304 units) signals exceptionally strong recent momentum that should be secured through forward contracts before the January 2026 period begins.

• Reduce promotional depth by 10–15pp (e.g., from ~25% to 10–15% discount) for January 2026 — rolling_mean_13 (SHAP=+0.77, value=651,072) and rolling_mean_4 (SHAP=+0.90, value=743,830) both confirm sustained organic demand over 4- and 13-week horizons, indicating baseline pull is strong enough to protect the 384,624-unit forecast without heavy price investment.

• Prioritise Fanta's core SKU assortment (top 2–3 flavours/formats) in replenishment planning to hit a 95% in-stock rate across discount channel by January 2026 — brand_mean_sales (SHAP=+0.47, value=447,291) reflects a healthy long-run brand baseline, while month_cos (SHAP=−0.16) flags a mild seasonal headwind in January that risks stockout risk being masked by aggregate forecasts; tightening assortment focus will protect sell-through efficiency.","• Capitalise on the +26.5% momentum surge by securing incremental secondary placement (clip strips, aisle ends) in the top-30 discount doors by February 2026 — lag_1 SHAP of +2.54 confirms recent volume is the single strongest predictor of the January forecast, meaning sustaining shelf presence now directly protects the 384K unit base; as a mass-market #5 brand at 1.1x category median, Fanta's value positioning is a natural fit for discount channel shoppers and incremental placement will convert footfall efficiently.

• Lock in a promotional price mechanic (e.g. multipack or bundle deal at ≤5% price reduction) for the first two weeks of January 2026 — month_cos carries a negative SHAP (-0.16), flagging seasonal headwind in this period; given Fanta's high volatility (CV=0.79) and mass-market positioning, a short, bounded promo dampens downside volume swings without eroding the mid-market price tier, and discount channel shoppers are particularly responsive to visible value signals.

• Stabilise replenishment cadence in discount by implementing a weekly sell-out review against the rolling 4-week benchmark (743K units) from November 2025 onward — rolling_mean_4 and rolling_mean_13 together contribute SHAP +1.67, meaning forecast accuracy is tightly anchored to recent run-rate; with CV=0.79 volatility and discount representing 35% of brand volume, a single out-of-stock event in a high-traffic discount week can disproportionately drag the rolling mean and create a self-reinforcing downward forecast revision into Q1."
FEVER TREE,DVH_EXCL_HD,2025-10-01,154373.2816875,8.20024125103373,10.963257917028386,"• Protect distribution weight at minimum 0.42 and target an increase to 0.45 in DVH_EXCL_HD by October 2025 — weighted_dist is the 3rd strongest SHAP driver (+0.56) and current penetration of 0.42 leaves meaningful headroom; a 3pp gain would directly support the 154,373-unit forecast and partially offset the seasonal drag from month_cos (−0.15).

• Prioritise shelf availability and replenishment planning to sustain a rolling 4-week volume baseline of ~207K units through September 2025 — rolling_mean_4 (SHAP=+0.67, value=206,903) is the second-strongest positive driver; any stock-out or supply disruption in August–September would erode this baseline and put the October forecast at risk.

• Reduce promotional depth by 10–15% for October 2025 relative to recent months — the long-run rolling_mean_13 (SHAP=+0.41, value=205,950) signals sustained organic demand strength, indicating the brand is not reliant on heavy promotional support to maintain volume; reallocating that spend to distribution-building activities would be more efficient given weighted_dist's higher SHAP contribution.","• Defend weighted distribution in DVH_EXCL_HD by securing a minimum 0.50 weighted distribution score (up from current 0.42) before October 2025 — distribution is the 3rd-ranked SHAP driver (+0.56) and with 82% of brand volume concentrated in this core channel, even a marginal distribution loss amplifies the -7% momentum decline; prioritise listings in the top-30 highest-volume DVH accounts where premium mixer visibility directly converts to rate-of-sale.

• Protect premium price positioning by avoiding promotional price cuts and instead activating 2-unit multipack or cocktail bundle mechanics in at least 15 DVH accounts by September 2025 — the forecast shows a step-down from the rolling mean (~206K units) to 154K, driven partly by seasonal headwinds (month_cos=-0.15); for a 1.7x premium-priced brand, volume defence through bundling preserves margin and brand equity better than price reductions, which risk permanent repositioning in a volatile category (CV=1.24).

• Stabilise the volume base by locking in a replenishment cadence aligned to the high lag_1 dependency (SHAP=+2.16, prior period value=184K units) — given the brand's high volatility (CV=1.24) and the forecast sitting ~15% below the 13-week rolling mean, work with DVH buyers to agree forward-committed shelf stock levels for October 2025 now, reducing the risk of out-of-stocks that would further erode the already declining 3-month trend."
ULUDAG,TOTAL_DISCOUNT,2025-11-01,150073.70411315377,8.953904750931542,11.43969816697063,"• Protect distribution weight at current levels (target ≥95% weighted distribution in TOTAL_DISCOUNT) through November 2025 — lag_1 is the dominant SHAP driver (+2.46) with a prior-month volume of 220,022 units, indicating strong carry-over momentum; any SKU delistings or out-of-stocks would disproportionately erode the November forecast of 150,074 units.

• Reduce promotional depth by ~10pp (e.g., from ~25% to ~15% discount rate) for November 2025 — rolling_mean_4 (+0.74, value 185,545) and rolling_mean_13 (+0.39, value 194,001) both signal sustained organic baseline demand well above the November forecast, suggesting the brand does not need heavy promotional support to hit volume targets; reallocating promo budget to Q1 2026 planning would improve margin without volume risk.

• Prioritise assortment continuity on the top 3 ULUDAG SKUs in TOTAL_DISCOUNT by end of October 2025 — brand_mean_sales (+0.15, value 78,187) confirms a healthy long-run brand average, but the seasonal cosine signal (month_cos SHAP=−0.18) flags a modest November headwind; ensuring full shelf presence on core SKUs before the seasonal dip materialises will help defend the 150,074-unit forecast without incremental spend.","• Stabilise promotional cadence in TOTAL_DISCOUNT to defend the 150K November forecast against high volatility (CV=1.20) — with lag_1 at 220K units driving the largest SHAP contribution (+2.46), the model is anchoring heavily on a strong prior period; schedule at least 2 confirmed promotional activations in November (e.g. multi-pack price feature or end-of-aisle placement) to prevent a sharp volume correction, targeting no more than a 15% month-on-month decline from the October base.

• Protect shelf assortment depth in the top-30 TOTAL_DISCOUNT doors by October 15, ensuring a minimum of 3 SKUs listed per store — as a value-priced brand (0.5x category median) in its core channel (65% of volume), ULUDAG's discount-channel shoppers are highly price-sensitive and substitution risk is elevated; the rolling_mean_4 and rolling_mean_13 SHAP signals (+0.74, +0.39) confirm sustained baseline demand that can be protected through consistent availability rather than further price reduction.

• Initiate a volume-building mechanic (e.g. 4-for-3 bundle or loyalty tray deal) targeting a +8% uplift on the 150K forecast to reach ~162K units in November — the brand's stable momentum (+1.2%) and mid-tier rank (#13 of 77) indicate headroom to grow within discount without cannibalising premium positioning; the negative month_cos SHAP (−0.18) flags a seasonal softening risk entering November, making a structured promotional mechanic necessary to offset the seasonal drag before the December peak."
SAN PELLEGRINO,CONVENIENCE,2025-12-01,5436.6709597656245,8.68531766696833,12.316351749061141,"• Expand distribution weight by 5pp in Convenience (from current 0.20 to 0.25) by November 30, 2025 — weighted_dist is the single strongest forecast driver (SHAP=+0.87) yet sits at only 0.20, indicating significant untapped outlet coverage; even a modest distribution gain should materially lift the December volume above the 5,437-unit baseline.

• Protect shelf presence and avoid SKU rationalization in Convenience through December 2025 — lag_1 (SHAP=+0.65, value=5,783 units) confirms strong recent momentum carrying into December; maintaining at least current assortment depth in active outlets will preserve this carry-over effect and prevent erosion of the forecast.

• Introduce a targeted price-promotion of 10–12% off in the final two weeks of December 2025 to close the gap versus channel average — channel_mean_sales (SHAP=−0.56, value=46,056) and rolling_mean_13 (SHAP=−0.36, value=6,439) both exert downward pressure, signalling that SAN PELLEGRINO is underperforming relative to Convenience channel norms; a short-burst promotional mechanic timed to peak holiday footfall can narrow this gap without committing to sustained margin dilution.","• Stabilise weighted distribution at minimum 0.25 (from current 0.20) across convenience outlets by 2025-11-01 — weighted_dist is the single strongest positive driver (SHAP=+0.87) and at 0.20 it is critically low; given convenience is already a peripheral channel (only 4% of brand volume), selective placement in the highest-velocity c-stores rather than broad rollout will reduce the extreme volatility (CV=1.37) without overcommitting to a low-priority channel.

• Defend the December volume floor of 5,437 units by locking in shelf continuity agreements with top convenience accounts before 2025-11-15, leveraging the strong lag_1 signal (SHAP=+0.65, prior period ~5,783 units) — the rolling 13-week mean (6,439) is running above forecast, indicating a softening trend; for a mid-tier brand (rank #14) priced at 0.6x category median, retaining existing listings is higher-ROI than acquiring new ones in a channel where the negative channel_mean_sales driver (SHAP=-0.56, mean=46,056) signals SAN PELLEGRINO is structurally underselling versus channel peers.

• Introduce a limited convenience-exclusive multipack or bundle (e.g. 3-pack at a 5–8% price premium vs single unit) by 2025-12-01 to lift basket size and reduce per-unit volatility — at 0.6x category price the brand has headroom to trade up slightly without losing value positioning, and the favourable month_cos signal (SHAP=+0.18, value=1.00) confirms December seasonality is a tailwind; a bundled format also smooths the high CV (1.37) by anchoring repeat purchase behaviour in a channel where transaction frequency is inherently irregular."
CARIBIA,DVH_EXCL_HD,2026-01-01,88584.55216045721,8.490304582985118,12.790196083020419,"• Protect and grow weighted distribution by +4pp (from 0.48 to 0.52) in DVH_EXCL_HD by January 2026 — weighted_dist is the #3 SHAP driver (+0.53) and current penetration at 0.48 leaves meaningful headroom; closing this gap is the highest-leverage structural action ahead of the forecast period.

• Lock in January 2026 replenishment orders at a minimum of 108,000 units with key DVH_EXCL_HD accounts by December 15, 2025 — lag_1 (SHAP=+2.12, value=159,235) and rolling_mean_4 (SHAP=+0.62, value=108,808) signal strong recent momentum, but the January forecast of 88,585 units reflects a seasonal step-down (month_cos SHAP=−0.15); pre-committing stock ensures service levels are maintained without over-ordering into a softer month.

• Reduce promotional depth by 10pp (targeting promo frequency at ≤20% of SKUs on deal) for January 2026 — rolling_mean_13 (SHAP=+0.12, value=86,162) confirms sustained baseline demand over the trailing 13 weeks, indicating organic volume is structurally sound; reallocating promo budget to distribution-building activities (see bullet 1) will deliver higher ROI than discounting into a seasonally soft period.","• Accelerate weighted distribution in DVH_EXCL_HD from 0.48 to at least 0.58 by March 2026 — distribution is the third-strongest forecast driver (SHAP=+0.53) and with CARIBIA at only 48% weighted distribution there is clear headroom; the brand's +20% recent momentum signals genuine pull demand that justifies range expansion conversations with buyers now, while the value price tier (0.4x category median) removes the barrier of shelf-price risk for retailers.

• Stabilise volume consistency through a Q1 2026 promotional calendar with at least 2 planned activation windows in January–March — the high volatility (CV=0.62) combined with a lag_1 SHAP of +2.12 means next period's forecast is heavily anchored to the most recent volume reading (159,235 units); locking in baseline offtake through structured promotions rather than ad-hoc spikes will reduce CV and protect the rolling mean trajectory (rolling_mean_4 SHAP=+0.62, currently 108,808), which is the second-strongest stabilising signal in the model.

• Prioritise DVH_EXCL_HD as the primary growth channel for 2026 investment, targeting a 5pp increase in channel volume share (from 53% toward 58%) by June 2026 — DVH_EXCL_HD is already CARIBIA's secondary channel yet accounts for 53% of brand volume, indicating this channel over-indexes relative to its tier-#15 ranking; the forecast of 88,585 units represents a normalisation from the recent 159,235 lag peak, so proactive shelf and assortment investment in the top-performing DVH doors will defend volume and convert momentum into structural distribution gains rather than a one-period spike."
ORANGINA,TOTAL_DISCOUNT,2025-09-01,7366.842823701417,11.740663416974712,10.745781540928874,"• Investigate and resolve the zero weighted distribution reading in TOTAL_DISCOUNT immediately — weighted_dist is a top-5 SHAP driver with a negative drag (SHAP=−0.29, value=0.00), suggesting Orangina has no weighted distribution recorded in this channel; secure listings with at least 3 major discount retailers (e.g., Netto, Rema 1000, Lidl) to achieve a minimum weighted_dist of 0.40 by August 2025, ahead of the September forecast period.

• Protect and build on the strong recent momentum by maintaining September 2025 volume at or above the lag_1 baseline of 7,029 units through a targeted in-store activation (e.g., secondary placement or neck-hanger promotion) in discount outlets — lag_1 is the dominant positive driver (SHAP=+1.14), confirming that August sell-through is the single biggest predictor of September performance; a 5% uplift on the lag_1 baseline would push September volume to ~7,380+ units, in line with the current forecast.

• Address the structural gap between the 13-week rolling mean (4,513 units, SHAP=−0.49) and the current run-rate (~7,029 units) by locking in a promotional price point of −10% vs. standard RSP for September 2025 — the depressed rolling_mean_13 is actively pulling the forecast down, indicating that recent high volumes are not yet embedded in the trend baseline; a sustained price-driven volume push over August–September 2025 will lift the rolling average by an estimated +500–700 units and reduce this negative SHAP drag for Q4 planning.","• Investigate and address the zero weighted distribution (SHAP=-0.29, value=0.00) in Total Discount immediately — restore active listings in at least 5 key discount banners (e.g. Netto, Lidl, Rema 1000) by October 2025; for a value-priced brand (0.6x category median) in its secondary channel (43% of volume), a distribution gap is disproportionately damaging and directly suppresses the forecast ceiling above 7,367 units.

• Stabilise volume volatility (CV=0.87) by negotiating a fixed promotional slot — e.g. a 2-week feature price mechanic in at least 3 discount chains — for October–November 2025; the severe -37.7% momentum decline combined with high volatility signals erratic sell-through rather than structural decline, and a value-tier niche brand (#41 of 77) in discount needs consistent shelf presence over price cuts to rebuild baseline velocity from the current lag_1 anchor of 7,029 units.

• Protect and grow the rolling baseline (rolling_mean_13 SHAP=-0.49, value=4,513 vs lag_1 of 7,029) by securing a minimum 4-facing secondary placement in top-15 discount volume stores before the September 2025 period closes — the gap between the short-term lag and the depressed 13-week mean indicates recent spikes are not converting into sustained volume, a critical risk for a niche brand where discount already represents nearly half of total brand volume."
