schema,category,brand,system,rep,actual,forecast,ape,outcome,latency_s,tokens_in,tokens_out,tokens_cached_in,tokens_reasoning,tokens,containers,cost_usd_est,error,trace,answer
v2-units-no-recommendation,CSD,HARBOE,A_llm_plain,0,4778906.8919,3100000.0,35.1316091708265,ok,105.04,70341,3861,0,3421,74202,0,0.467535,,"{""scenario"": ""A_plain"", ""model"": ""gpt-5.5-2026-04-23"", ""temperature"": null, ""decoding"": ""temperature/top_p unsupported by the model; defaults used"", ""reasoning_effort"": ""medium"", ""run_at"": ""2026-08-19T19:31:17"", ""tool"": ""web_search"", ""wrote_code"": false, ""used_web"": true, ""via_sentinel"": true, ""target_month"": ""2026-01"", ""retrieval_suspected"": true}","**Best estimate:** **3.1 million units sold** of **HARBOE CSD in Danish retail in 2026-01**.

**Plausible range:** **2.1 million–4.8 million units**.  
**Confidence:** **Low-to-moderate, ~35%** — public sources give market/category and Harboe position clues, but not internal SKU-level unit sales.

**How I estimated it:**
- Public evidence says Danish soft-drink sales were large and growing: DTU/Euromonitor reported **966m liters of soft drinks in Denmark in 2025**, with retail/off-trade accounting for most sales; for **sodavand/CSD**, the report notes retail is **80%** of sales. ([food.dtu.dk](https://www.food.dtu.dk/-/media/institutter/foedevareinstituttet/publikationer/pub-2025/markeds-og-vareundersoegelse-af-energidrikke-i-danmark-final-report.pdf))
- Harboe reported a **soft-drinks value share of 8.1%** in Danish retail in MAT week 20 2025, and said **54% of Danes bought** Harboe soft drinks or Apollinaris in 2024. ([investor.harboes.com](https://investor.harboes.com/static-files/88ec4164-f72a-4d68-95b6-f85bb8680432))
- Harboe’s 2025/26 report says Denmark beverage volume grew **14%**, its Danish market-share trend remained positive, and soft drinks in Denmark grew **2.6%** over the past year; it also describes Harboe as broadly represented across Danish retail and positioned in the lower-price segment. ([harboes.gcs-web.com](https://harboes.gcs-web.com/static-files/5b7da5bb-a45d-42fa-8a08-d0154dae2c44))
- I converted Harboe’s **8.1% value share** to an estimated **~11–12% volume share** because Harboe is lower-priced, assumed January is a seasonally weak CSD month at **~6.8% of annual volume**, and assumed an average retail “unit” of about **1.1 liters** across large PET bottles, 0.5L bottles, cans, and multipacks.

FORECAST=3100000"
v2-units-no-recommendation,CSD,HARBOE,A_llm_plain,1,4778906.8919,3100000.0,35.1316091708265,ok,109.76,81059,4051,2688,3719,85110,0,0.514729,,"{""scenario"": ""A_plain"", ""model"": ""gpt-5.5-2026-04-23"", ""temperature"": null, ""decoding"": ""temperature/top_p unsupported by the model; defaults used"", ""reasoning_effort"": ""medium"", ""run_at"": ""2026-08-19T19:33:07"", ""tool"": ""web_search"", ""wrote_code"": false, ""used_web"": true, ""via_sentinel"": true, ""target_month"": ""2026-01"", ""retrieval_suspected"": true}","**Estimate for 2026-01:** **3,100,000 units** of **HARBOE** in **CSD/sodavand** in Danish retail.

**Likely range:** **2,100,000–4,400,000 units**.

**Confidence:** **35% — low/moderate.** The biggest uncertainties are Harboe’s actual CSD volume share and the exact definition of “unit” in the retail dataset. I interpret “unit” as a scanned consumer pack/bottle/can, not liters and not DKK.

**Reasoning, summarized:** Danish soft-drink retail is large: a DTU report cites 966 million liters of soft drinks sold in Denmark in 2025 and notes that soda/CSD is heavily retail-driven, with retail accounting for about 80% of soda sales. Harboe’s 2025/26 annual report says Harboe soft drinks were bought by 54% of Danish consumers in 2025 and that Harboe soft drinks are now on shelves in virtually all Danish retailers; it also reports rising Danish beverage revenue and broader distribution of own-brand products. I model Jan-2026 Harboe CSD volume as a winter-month share of annual CSD volume, with Harboe at roughly a mid-teens volume share, then convert liters to units using a mostly-1.5L PET mix with some smaller packs. ([food.dtu.dk](https://www.food.dtu.dk/-/media/institutter/foedevareinstituttet/publikationer/pub-2025/markeds-og-vareundersoegelse-af-energidrikke-i-danmark-final-report.pdf))

FORECAST=3100000"
v2-units-no-recommendation,CSD,HARBOE,A_llm_plain,2,4778906.8919,3300000.0,30.9465516979766,ok,111.44,76100,4535,3712,4110,80635,0,0.499846,,"{""scenario"": ""A_plain"", ""model"": ""gpt-5.5-2026-04-23"", ""temperature"": null, ""decoding"": ""temperature/top_p unsupported by the model; defaults used"", ""reasoning_effort"": ""medium"", ""run_at"": ""2026-08-19T19:34:59"", ""tool"": ""web_search"", ""wrote_code"": false, ""used_web"": true, ""via_sentinel"": true, ""target_month"": ""2026-01"", ""retrieval_suspected"": true}","**Best estimate:** **3,300,000 units** of HARBOE CSD sold in Danish retail in **2026-01**.

**Likely range:** **2,500,000–4,500,000 units**.

**Confidence:** **Low-to-moderate, ~40%**. The main uncertainty is that “units” depends on whether scanner data counts a 6-pack/18-pack as one unit or counts individual containers. I’m treating a unit as the **retail scanned consumer unit**.

**Reasoning:** I anchored the estimate on Danish off-trade soft-drink/carbonates volume: DTU, using Euromonitor data, reports 2025 Danish soft-drink sales of **966m liters**, with retail/off-trade representing **86%** of total soft drinks and **80%** for soda/carbonates specifically. ([food.dtu.dk](https://www.food.dtu.dk/-/media/institutter/foedevareinstituttet/publikationer/pub-2025/markeds-og-vareundersoegelse-af-energidrikke-i-danmark-final-report.pdf)) Harboe reported a **soft-drinks value share of 8.1%** over the 12 months to NielsenIQ MAT week 20 2025, and because Harboe is a low-price brand, I convert that to a higher volume share, roughly **11–14%**. ([financialreports.eu](https://financialreports.eu/filings/harboes-bryggeri/annual-report/2025/6461316/)) Harboe also reported broad 2025 distribution—“virtually all Danish retailers”—and 54% Danish consumer penetration for Harboe soft drinks, supporting a share above a niche-brand level. ([harboes.gcs-web.com](https://harboes.gcs-web.com/static-files/5b7da5bb-a45d-42fa-8a08-d0154dae2c44)) I estimate January at roughly **7–8%** of annual retail CSD volume, then divide Harboe’s estimated liters by an average scanned unit size of about **1.3–1.4 liters**, reflecting a mix of 33cl cans/multipacks, 50cl bottles, and large plastic bottles. ([lomax.dk](https://www.lomax.dk/foedevarer-og-koekken/drikkevarer/sodavand/harboe-cola-33-cl-60175910/?utm_source=openai))

FORECAST=3300000"
v2-units-no-recommendation,CSD,COCA COLA,A_llm_plain,0,3152931.7235,8200000.0,160.07540660910223,ok,123.04,80138,4417,2688,3925,84555,0,0.521104,,"{""scenario"": ""A_plain"", ""model"": ""gpt-5.5-2026-04-23"", ""temperature"": null, ""decoding"": ""temperature/top_p unsupported by the model; defaults used"", ""reasoning_effort"": ""medium"", ""run_at"": ""2026-08-19T19:37:02"", ""tool"": ""web_search"", ""wrote_code"": false, ""used_web"": true, ""via_sentinel"": true, ""target_month"": ""2026-01"", ""retrieval_suspected"": false}","**Best estimate:** **8,200,000 retail units** of **Coca-Cola** sold in the **CSD/carbonates category** in **Danish retail/off-trade** in **January 2026**.

**Range:** **6,000,000–11,000,000 units**  
**Confidence:** **Low-to-moderate (~35%)**, mainly because “units” depends heavily on whether multipacks count as one retail unit or as individual cans/bottles, and because brand-level Danish retail scanner data is not public.

**Assumptions used:**
- Interpreting **units** as **retail selling units/packages scanned at checkout**: e.g., one 1.5L bottle = 1 unit; one 6-pack = 1 unit.
- Danish off-trade soft-drink volume is large: a DTU report using Euromonitor data says Danish **retail/off-trade soft-drink sales** were about **86% of total soft-drink sales**, and that soda/carbonates off-trade was about **80% of total soda/carbonates**; the same report gives 2025 total soft-drink sales at **966 million litres**. ([food.dtu.dk](https://www.food.dtu.dk/-/media/institutter/foedevareinstituttet/publikationer/pub-2025/markeds-og-vareundersoegelse-af-energidrikke-i-danmark-final-report.pdf))
- I estimate annual Danish off-trade carbonates at roughly **475–500 million litres**, Coca-Cola-brand share at roughly **23–28%** after the 2025 anti-US-brand effect, and January seasonality at about **6.5–7.5%** of annual volume.
- Carlsberg bottles/distributes Coca-Cola in Denmark, and in 2025 it said Danish Coca-Cola volumes were “slightly down” amid a boycott effect, while local cola brands gained share; however, in Q1 2026 Carlsberg said the Coke portfolio in Denmark/Finland was again providing growth, so I did not apply a large continuing collapse assumption. ([investing.com](https://www.investing.com/news/stock-market-news/danes-boycotting-us-products-like-cocacola-carlsberg-says-4010792?utm_source=openai))
- Converted litres to retail units using an average of about **1.0–1.2 litres per scanned selling unit**, reflecting a mix of 1.5L bottles, 0.5L bottles, and multipacks.

FORECA"
v2-units-no-recommendation,CSD,COCA COLA,A_llm_plain,1,3152931.7235,10200000.0,223.50843261132223,ok,95.05,59653,3988,2688,3524,63641,0,0.405809,,"{""scenario"": ""A_plain"", ""model"": ""gpt-5.5-2026-04-23"", ""temperature"": null, ""decoding"": ""temperature/top_p unsupported by the model; defaults used"", ""reasoning_effort"": ""medium"", ""run_at"": ""2026-08-19T19:38:38"", ""tool"": ""web_search"", ""wrote_code"": false, ""used_web"": true, ""via_sentinel"": true, ""target_month"": ""2026-01"", ""retrieval_suspected"": false}","**Best estimate:** **10,200,000 units** of **Coca-Cola** sold in the **CSD/sodavand category in Danish retail in January 2026**.

**Estimated range:** **7,500,000–14,000,000 units**  
**Confidence:** **Low-to-moderate, ~45%** — mainly because brand-level monthly retail unit sales are not public, and “unit” can vary by data provider. I’m treating a unit as an individual retail consumer container/pack equivalent, not liters or DKK.

**How I estimated it:**

- Danish sources indicate high soft-drink consumption: about **82 liters of sodavand per person per year**, with total sweet-drink purchases around **127 liters per person** in the cited FVST/DTU material. ([foedevarestyrelsen.dk](https://foedevarestyrelsen.dk/Media/638763454077872158/5%20h%C3%A5ndfulde_faktaark.pdf))  
- DTU cites Euromonitor-based 2025 Danish soft-drink sales of **966 million liters**, and notes that soda/CSD retail/off-trade is the relevant channel for brand shares. ([food.dtu.dk](https://www.food.dtu.dk/english/-/media/institutter/foedevareinstituttet/publikationer/pub-2025/markeds-og-vareundersoegelse-af-energidrikke-i-danmark-final-report.pdf))  
- Euromonitor’s Denmark carbonates summary says 2025 retail volume declined significantly, partly from weaker cola demand and anti-US sentiment affecting Coca-Cola, so I applied a haircut to Coca-Cola’s share versus a normal year. ([marketresearch.com](https://www.marketresearch.com/Euromonitor-International-v746/Carbonates-Denmark-43236730/?utm_source=openai))  
- I assumed roughly **470–490 million liters/year** of Danish retail CSD, **~22% Coca-Cola brand share**, **~6.7% of annual sales occurring in January**, and **~0.70 L per sold unit** on average across cans, 0.5L bottles, and larger PET bottles. Coca-Cola Denmark’s listed formats span **0.25L, 0.33L, 0.5L, 1L, 1.25L, 1.5L, 1.75L and 2L**, supporting the need for a weighted average pack size assumption. ([carlsbergdanmark.dk](https://www.carlsbergdanmark.dk/produkter/coca-cola/coca-cola/?Ckey"
v2-units-no-recommendation,CSD,COCA COLA,A_llm_plain,2,3152931.7235,5600000.0,77.61247280621618,ok,143.55,109664,4585,3712,4196,114249,0,0.669166,,"{""scenario"": ""A_plain"", ""model"": ""gpt-5.5-2026-04-23"", ""temperature"": null, ""decoding"": ""temperature/top_p unsupported by the model; defaults used"", ""reasoning_effort"": ""medium"", ""run_at"": ""2026-08-19T19:41:02"", ""tool"": ""web_search"", ""wrote_code"": false, ""used_web"": true, ""via_sentinel"": true, ""target_month"": ""2026-01"", ""retrieval_suspected"": true}","**Best estimate for 2026-01:** **5,600,000 retail sales units** of **COCA COLA** in Danish retail CSD.

**Estimated range:** **3,800,000–7,800,000 units**  
**Confidence:** **Low-to-moderate, ~40%**

**How I estimated it:**
- Denmark’s 2025 soft-drink market is reported at **966m liters**, with retail/off-trade representing **86% of total soft drinks** and **80% of soda/CSD** volume. ([food.dtu.dk](https://www.food.dtu.dk/english/-/media/institutter/foedevareinstituttet/publikationer/pub-2025/markeds-og-vareundersoegelse-af-energidrikke-i-danmark-final-report.pdf))
- I treated “COCA COLA” as the Coca-Cola trademark brand family in CSD — e.g., Original, Zero Sugar, koffeinfri variants — not all Coca-Cola Company brands like Fanta/Sprite.
- I estimated Danish retail CSD volume at roughly **400–480m liters/year**, Coca-Cola trademark share at roughly **27–31% by volume**, January seasonality at **~6.5–7.0% of annual volume**, and average scanned retail unit size at **~1.4–1.5 liters per sales unit**.
- I adjusted share downward modestly for the 2025 Danish boycott effect, but not dramatically: Carlsberg said in Q1 2025 that Danish Coca-Cola volumes were “slightly down,” while in Q1 2026 it said the Danish/Finnish Coke portfolio was growing again. ([carlsberggroup.com](https://www.carlsberggroup.com/reports-downloads/q1-2025-conference-call-transcript/?utm_source=openai))
- The main uncertainty is the definition of “unit”: I’m forecasting **scanned retail sales units/packages**, not individual cans/bottles inside multipacks. If you mean individual containers, the estimate would be materially higher.

FORECAST=5600000"
v6-shared-composition+af04a42a478b,CSD,HARBOE,A_llm_plain,0,6365899.7748,7100000.0,11.53175907836318,ok,71.64,59259,3816,0,3590,63075,0,0.410775,,"{""scenario"": ""A_llm_plain"", ""model"": ""gpt-5.5-2026-04-23"", ""temperature"": null, ""decoding"": ""temperature/top_p unsupported by the model; defaults used"", ""reasoning_effort"": ""medium"", ""prompt_schema_id"": ""v6-shared-composition+af04a42a478b"", ""run_at"": ""2026-09-12T19:18:26"", ""tool"": ""web_search"", ""wrote_code"": false, ""used_web"": true, ""via_sentinel"": true, ""target_month"": ""2026-03"", ""retrieval_suspected"": false}","Forecast: 7,100,000 units  
Range: 4,800,000 to 10,000,000 units (90% interval)  
Confidence: low -- this is a triangulated estimate, not observed scanner data: Danish retail soft-drink volume was reported at 966m litres in 2025, Harboe reported rising Danish market share/own-brand momentum, and its soft-drink value share was recently cited at 8.1%; the largest uncertainty is converting litres into retail “units” because Harboe sells a mix of large PET bottles, cans, and multipacks. ([food.dtu.dk](https://www.food.dtu.dk/-/media/institutter/foedevareinstituttet/publikationer/pub-2025/markeds-og-vareundersoegelse-af-energidrikke-i-danmark-final-report.pdf))  
Recommendation: plan the base shelf and promo supply around the midpoint, but set replenishment/forward-cover closer to the upper half of the range for discount stores and pre-Easter promotions; the main planning risk is under-ordering if Harboe continues gaining from value-seeking and local-brand switching.  
FORECAST=7100000"
v6-shared-composition+af04a42a478b,CSD,HARBOE,B_llm_data,0,6365899.7748,6250000.0,1.820634614116919,ok,87.9,21672,4447,0,4320,26119,1,0.27177,,"{""scenario"": ""B_llm_data"", ""model"": ""gpt-5.5-2026-04-23"", ""temperature"": null, ""decoding"": ""temperature/top_p unsupported by the model; defaults used"", ""reasoning_effort"": ""medium"", ""prompt_schema_id"": ""v6-shared-composition+af04a42a478b"", ""run_at"": ""2026-09-12T19:19:55"", ""tool"": ""code_interpreter"", ""wrote_code"": true, ""target_month"": ""2026-03"", ""history_months"": 39, ""history_ends"": ""2025-12"", ""code_calls"": 11, ""via_sentinel"": true}","Forecast: 6,250,000 units  
Range: 4,200,000 to 8,300,000 units (90% interval)  
Confidence: medium-low -- March has clear seasonal upside, but HARBOE’s recent history is volatile, with 2025 showing large promo-driven swings and a late-year distribution step-up.  
Recommendation: plan base supply around the midpoint, but only commit toward the upper half of the range if March promo/TPR and display support are confirmed; otherwise keep flexible replenishment capacity rather than overbuilding inventory.  
FORECAST=6250000"
v6-shared-composition+af04a42a478b,CSD,HARBOE,C_llm_model,0,6365899.7748,4969049.5,21.94269976303366,ok,12.94,1033,136,0,0,1169,0,0.009245,,"{""scenario"": ""C_llm_model"", ""model"": ""gpt-5.5-2026-04-23"", ""temperature"": null, ""decoding"": ""temperature/top_p unsupported by the model; defaults used"", ""reasoning_effort"": ""medium"", ""prompt_schema_id"": ""v6-shared-composition+af04a42a478b"", ""run_at"": ""2026-09-12T19:20:08"", ""tool"": ""forecast_demand"", ""wrote_code"": false, ""target_month"": ""2026-03"", ""tool_returned_forecast"": true, ""payload_complete"": true}","Forecast: 4,969,050 units
Range: 654,488 to 37,726,335 units (90% interval)
Confidence: low -- the prediction interval is very wide despite reasonable volume-weighted historical accuracy, indicating high uncertainty for this brand/month forecast.
Recommendation: plan initial replenishment near the midpoint, but avoid committing to the upper range without demand signals; use phased ordering and close weekly monitoring so you can scale up quickly if sell-out trends toward the high end.
FORECAST=4969050"
v6-shared-composition+af04a42a478b,CSD,HARBOE,D_prometheus_data,0,6365899.7748,6300000.0,1.0351996910298542,ok,155.26,103662,14740,0,0,118402,0,0.96051,,"{""scenario"": ""D_prometheus_data"", ""model"": ""gpt-5.5-2026-04-23"", ""temperature"": null, ""decoding"": ""temperature/top_p unsupported by the model; defaults used"", ""reasoning_effort"": ""medium"", ""prompt_schema_id"": ""v6-shared-composition+af04a42a478b"", ""run_at"": ""2026-09-12T19:22:43"", ""tool"": ""prometheus"", ""wrote_code"": true, ""target_month"": ""2026-03"", ""engine_available"": true, ""orchestrator"": ""prometheus_graph_engine"", ""via_sentinel"": true, ""sql_calls"": [], ""code_calls"": 4, ""tool_calls"": [""execute_code"", ""execute_code"", ""execute_code"", ""execute_code""], ""engine_verdict"": ""ok"", ""usage_reported"": true, ""sandbox_killed"": ""ivcjmfc5nlautqbhq5dk4"", ""coder_reasoning_effort"": ""medium"", ""coder_request_limit"": 40, ""vendor_coder_model"": ""gpt-5.5"", ""history_months"": 39, ""history_ends"": ""2025-12""}","Forecast: 6,300,000 units  
Range: 4,600,000 to 8,600,000 units (90% interval)  
Confidence: medium-low -- HARBOE is a competitor brand, and while the monthly CSD unit history is continuous, there are only three observed March periods and recent months have been volatile.  
Recommendation: plan Royal Unibrew category activity against the midpoint for expected category pressure, but monitor January-February actuals closely and keep contingency capacity up to the upper bound before making permanent space or supply commitments.  
FORECAST=6300000"
