category,ensemble,confidence,tier,llm_rec,baseline_rec
CSD,1844.7,46.0,Moderate,"**Recommendation:** The ensemble forecast for CSD over the next month is **1,845 units**, but the 90% prediction interval is extremely wide (**264 – 12,856 units**), signaling very high demand uncertainty. Confidence is **Moderate-Low (46/100)**, driven by weak inter-model agreement (0.51), meaning the underlying models are substantially disagreeing on direction and magnitude. ⚠️ **Flag:** Avoid committing to large fixed inventory positions; consider a phased ordering approach or flexible supplier arrangements to hedge against both stockout and overstock risk until signals stabilize.",Forecast for CSD: 1845 units (90% range 264–12856); model confidence 46% (Moderate).
CSD,63967.1,57.5,Moderate,"**Recommendation:**
Plan for a central forecast of ~64,000 units, but the extremely wide 90% interval (9,177–445,838 units) signals very high distributional uncertainty despite strong inter-model agreement — flag this for review, as the interval spread (~437K units) likely reflects a data or model calibration issue rather than genuine demand volatility. Confidence is rated **Moderate (58/100)**; until the interval anomaly is investigated, avoid committing to large fixed inventory positions and prioritize flexible supply arrangements for CSD this month.",Forecast for CSD: 63967 units (90% range 9177–445838); model confidence 58% (Moderate).
CSD,8618.7,47.2,Moderate,"**Forecast Range:** 1,236 – 60,070 units (point estimate: 8,619) | **Confidence: Moderate (47/100)**

The extremely wide 90% prediction interval — spanning nearly 59,000 units — combined with low inter-model agreement (0.56) signals high forecast volatility; models are not converging on a reliable signal for CSD this month. ⚠️ **Flag:** Avoid committing to large fixed inventory positions; consider a phased ordering approach or lean initial buy with a replenishment trigger to manage downside risk while preserving upside flexibility.",Forecast for CSD: 8619 units (90% range 1236–60070); model confidence 47% (Moderate).
CSD,26904.7,30.6,Low,"**Recommendation:** The ensemble forecast for CSD over the next month is **26,905 units**, but the 90% prediction interval spans an extremely wide range of **3,859 to 187,520 units**, rendering the point estimate unreliable for planning purposes. Confidence is **Low (31/100)** due to zero inter-model agreement — the underlying models are producing fundamentally divergent signals, indicating high structural uncertainty in the current demand environment. **Flag for review:** Do not use this forecast to drive procurement or inventory decisions without first investigating the source of model disagreement (e.g., data quality issues, promotional events, or distribution anomalies) and supplementing with qualitative category intelligence.",Forecast for CSD: 26905 units (90% range 3859–187520); model confidence 31% (Low).
CSD,1544.1,53.7,Moderate,"**Recommendation:** The ensemble model forecasts **1,544 units** for CSD over the next month, but the 90% prediction interval is extremely wide (**220 – 10,761 units**), signaling very high demand uncertainty. Confidence is rated **Moderate (54/100)** — while inter-model agreement is reasonable (0.77), the interval spread suggests high underlying demand volatility or insufficient signal quality for this horizon. ⚠️ **Flag:** Avoid committing to large fixed orders; consider a phased procurement approach or flexible supplier arrangements to hedge against both stockout and overstock risk until a tighter forecast can be established.",Forecast for CSD: 1544 units (90% range 220–10761); model confidence 54% (Moderate).
CSD,1289.4,46.8,Moderate,"**Recommendation:** The ensemble forecast for CSD over the next month is **1,289 units**, but the 90% prediction interval is extremely wide (**184–8,986 units**), signaling very high demand uncertainty. Confidence is **Moderate-Low (47/100)** due to weak inter-model agreement (0.54), meaning the models are substantially disagreeing on the demand trajectory — treat the point forecast with caution. **Action:** Avoid large forward inventory commitments; prioritize flexible replenishment arrangements and set stock buffers closer to the lower-mid range until a higher-confidence signal emerges.",Forecast for CSD: 1289 units (90% range 184–8986); model confidence 47% (Moderate).
CSD,45070681.4,59.0,Moderate,"**Recommendation:**
Plan for a forecast range of **6.5M–314.1M units** (point estimate: 45.1M) over the next month for CSD, with **Moderate confidence (59/100)**. Despite strong inter-model agreement (0.95), confidence is held back by the extremely wide prediction interval — spanning nearly 50x between lower and upper bounds — which signals high underlying demand volatility or data quality concerns that warrant caution. **Flag for review:** avoid committing to full inventory at the point estimate; consider a phased procurement strategy anchored closer to the lower bound with contingency provisions, and investigate the drivers of this interval width before finalizing orders.",Forecast for CSD: 45070681 units (90% range 6466548–314134527); model confidence 59% (Moderate).
CSD,6454.4,30.6,Low,"**Recommendation:** The ensemble forecast for CSD over the next month is **6,454 units**, but the 90% prediction interval spans an extremely wide range of **925 to 44,985 units**, signaling near-total model disagreement (inter-model agreement: 0.00). Confidence is **Low (31/100)** — this forecast should not be used to drive procurement or inventory decisions without further investigation into the root cause of model divergence (e.g., data anomalies, missing demand signals, or structural breaks). **Flag for immediate review** before acting; consider defaulting to a conservative baseline or safety stock buffer until a reliable signal is established.",Forecast for CSD: 6454 units (90% range 925–44985); model confidence 31% (Low).
CSD,56764.7,42.7,Moderate,"**Recommendation:** Plan for a forecast range of **8,143 to 395,639 units** (point estimate: 56,765), but treat this estimate with caution — confidence is **Low** (43/100), driven by very poor inter-model agreement (0.41), and the extremely wide interval spanning ~387K units renders the point forecast operationally unreliable. Before committing to procurement or inventory positions for CSD this month, prioritize gathering additional demand signals (e.g., promotional calendars, distribution changes, or POS trends) to reconcile model divergence. **Flag for review:** do not use this forecast as-is for high-stakes ordering decisions.",Forecast for CSD: 56765 units (90% range 8143–395639); model confidence 43% (Moderate).
CSD,1550502.4,39.6,Low,"**Recommendation:** The ensemble forecast for CSD over the next month is **1,550,502 units**, but the 90% prediction interval is extremely wide (**222,458 – 10,806,722 units**), spanning nearly 50x from lower to upper bound. **Confidence is Low (40/100)** due to very poor inter-model agreement (0.30), meaning the underlying models are producing substantially divergent signals and the point forecast should not be relied upon for planning. ⚠️ **Flag:** Do not use this forecast to drive procurement or inventory decisions without first investigating the source of model disagreement — review input data quality, check for anomalies or missing demand signals, and consider holding safety stock at a conservative level until a more reliable forecast can be generated.",Forecast for CSD: 1550502 units (90% range 222458–10806722); model confidence 40% (Low).
