category,table,column,kind,dtype,m_data_type,m_unit,m_null_meaning,m_description,has_metadata,all_null,dtype_mismatch,n_rows,example,min,max,mean,median,mode,std,distinct,nulls,null_pct,zeros,negatives
CSD,facts,market_id,numeric,int64,string,N/A,not nullable,Foreign key to the Market dimension. Joins facts to market metadata. Never NULL.,True,False,True,10311342,1262109,1255956,2195818,1.399e+06,1262119,1262102,2.056e+05,86,0,0.0,0,0
CSD,facts,period_id,numeric,int64,string,N/A,not nullable,Foreign key to the Period dimension. Joins facts to period metadata. Never NULL.,True,False,True,10311342,46703,38797,46904,4.139e+04,40695,46904,2298,46,0,0.0,0,0
CSD,facts,product_id,numeric,int64,string,N/A,not nullable,Foreign key to the Product dimension. Joins facts to product metadata. Never NULL.,True,False,True,10311342,21280,1,130738,1.292e+04,6008,406,1.906e+04,"8,881",0,0.0,0,0
CSD,facts,sales_value,numeric,float64,double,DKK,,Total sales out of store expressed in Danish Krone (DKK). Consumer retail price including VAT (point-of-sale scanner data). This is the TOTAL — promo + non-promo combined. NULL = no data for this market/product/period combination.,True,False,False,10311342,16990.9294,-2.043e+04,5.616e+08,7.001e+05,4299,0,9.082e+06,"1,805,726","508,714",4.9,"373,587","2,652"
CSD,facts,sales_in_liters,numeric,float64,double,liters,,Total sales out of store expressed in litres. Includes both promo and non-promo volume. NULL = no data for this combination.,True,False,False,10311342,7540.3459,-4308,5.305e+07,6.629e+04,153.8,0,8.908e+05,"1,170,735","508,714",4.9,"373,243","2,710"
CSD,facts,sales_units,numeric,float64,double,units,,Total sales out of store expressed in consumer purchase units (individual packs / bottles / cans as scanned at checkout). Includes both promo and non-promo. NULL = no data.,True,False,False,10311342,2513.4486,-900,3.49e+07,4.537e+04,302,0,6.077e+05,"1,005,971","508,714",4.9,"373,243","2,691"
CSD,facts,sales_value_any_promo,numeric,float64,double,DKK,,"Value of sales (DKK) made on any type of promotion (TPR, display, feature, or any combination). Subset of sales_value: total = promo + non-promo. NOT applicable in Total Market incl Hard Discount (Lidl is cash-slip only). A small number of fact rows show promo slightly exceeding total due to rounding (<1,000 DKK); cap with MIN(promo, total) when displaying. NULL = promo not tracked for this combination.",True,False,False,10311342,463188.3853,-3.193e+04,3.083e+08,5.977e+05,791.4,0,6.809e+06,"354,726","7,793,737",75.6,"1,038,282",348
CSD,facts,sales_in_liters_any_promo,numeric,float64,double,liters,,Volume in litres sold on any type of promotion. Subset of sales_in_liters. NULL = promo not tracked. Not applicable in Total Market incl Hard Discount.,True,False,False,10311342,83215.2318,-2.172e+04,3.916e+07,6.321e+04,27.24,0,7.378e+05,"336,078","7,793,737",75.6,"1,038,326",353
CSD,facts,sales_units_any_promo,numeric,float64,double,units,,Units sold on any type of promotion. Subset of sales_units. NULL = promo not tracked. Not applicable in Total Market incl Hard Discount.,True,False,False,10311342,197333.6973,-1.822e+04,2.183e+07,3.38e+04,56.81,0,4.051e+05,"331,642","7,793,737",75.6,"1,038,326",383
CSD,facts,sales_units_any_tpr,numeric,float64,double,units,,Units sold specifically on Temporary Price Reduction (TPR). TPR is a subset of 'any promo'. NULL = TPR not tracked.,True,False,False,10311342,195272.0553,-1.822e+04,1.987e+07,2.549e+04,7.841,0,3.191e+05,"291,884","7,793,737",75.6,"1,218,224",824
CSD,facts,baseline_sales_value,numeric,float64,double,DKK,,"Modeled value sales (DKK) that would have occurred in the absence of any promotions, calculated using Nielsen's proprietary baseline model. Includes non-promoted actual sales plus estimated sales that would have happened without promo support. CAN exceed actual sales_value when promotions had a negative incremental effect. Relationship: incremental_value = sales_value - baseline_sales_value. NULL = baseline not modeled for this combination (e.g. promo not tracked in this market).",True,False,False,10311342,535345.2878,0,3.278e+08,6.729e+05,7671,0,7.437e+06,"540,885","7,793,737",75.6,"4,284",0
CSD,facts,baseline_sales_in_liters,numeric,float64,double,liters,,Modeled volume in litres that would have occurred without promotions. Same baseline-model logic as baseline_sales_value. NULL = not modeled.,True,False,False,10311342,90122.7822,0,2.787e+07,5.712e+04,285.1,0.5,6.379e+05,"500,262","7,793,737",75.6,"4,134",0
CSD,facts,baseline_sales_units,numeric,float64,double,units,,Modeled units that would have occurred without promotions. NULL = not modeled.,True,False,False,10311342,106118.9303,0,2.559e+07,4.624e+04,515,1,5.31e+05,"497,907","7,793,737",75.6,"4,134",0
CSD,facts,baseline_sales_value_any_promo,numeric,float64,double,DKK,,Baseline value sales (DKK) attributed specifically to the promoted portion. Used together with sales_value_any_promo to calculate promotional efficiency (PEI = Promotional Efficiency Index). NULL = not modeled.,True,False,False,10311342,74660.4241,0,1.387e+08,2.903e+05,344.2,0,3.244e+06,"351,269","7,793,737",75.6,"1,079,564",0
CSD,facts,baseline_sales_in_liters_any_promo,numeric,float64,double,liters,,Baseline volume in litres for the promoted portion. NULL = not modeled.,True,False,False,10311342,14060.8082,0,1.108e+07,2.398e+04,9.9,0,2.692e+05,"345,957","7,793,737",75.6,"1,079,581",0
CSD,facts,baseline_sales_units_any_promo,numeric,float64,double,units,,Baseline units for the promoted portion. NULL = not modeled.,True,False,False,10311342,12912.3344,0,7.262e+06,1.518e+04,20.68,0,1.736e+05,"347,665","7,793,737",75.6,"1,079,581",0
CSD,facts,numeric_distribution,numeric,float64,double,fraction (0-1),,"Average WEEKLY percentage of stores where the product was sold for the chosen period, stored as a fraction 0-1 (multiply by 100 for %). Measures physical availability regardless of store size. Example: 0.45 means the product was sold in 45% of stores on average per week. NULL = not measured (e.g. aggregate product hierarchy levels, or cash-slip markets like Lidl).",True,False,False,10311342,1.0,5.2e-05,1,0.2073,0.04412,1,0.3052,"1,030,253","1,518,015",14.7,0,0
CSD,facts,numeric_distribution_reach,numeric,float64,double,fraction (0-1),,"Percentage of stores that sold the selected product at ANY point during the entire selected period (not weekly average), stored as a fraction 0-1. Higher than numeric_distribution because a store only needs to sell once in the period to count. NULL = not measured.",True,False,False,10311342,1.0,0,1,0.2269,0.04975,0,0.3226,"773,180","683,325",6.6,"834,690",0
