schema,category,brand,system,rep,actual,forecast,ape,outcome,latency_s,tokens_in,tokens_out,tokens_cached_in,tokens_reasoning,tokens,containers,cost_usd_est,error,trace,answer
v4-five-scenarios+e37111d3daaa,CSD,HARBOE,A_llm_plain,0,6365899.7748,3900000.0,38.73607599920896,ok,102.33,72832,5300,0,5051,78132,0,0.52316,,"{""scenario"": ""A_plain"", ""model"": ""gpt-5.5-2026-04-23"", ""temperature"": null, ""decoding"": ""temperature/top_p unsupported by the model; defaults used"", ""reasoning_effort"": ""medium"", ""prompt_schema_id"": ""v4-five-scenarios+e37111d3daaa"", ""run_at"": ""2026-09-11T14:58:06"", ""tool"": ""web_search"", ""wrote_code"": false, ""used_web"": true, ""via_sentinel"": true, ""target_month"": ""2026-03"", ""retrieval_suspected"": false}","Forecast: 3,900,000 units  
Range: 2,500,000 to 5,800,000 units (90% interval)  
Confidence: low -- this is a public-data triangulation, not observed sell-out: Harboe reported FY2025/26 Beverage revenue of DKK 1,526m and 4.045m hl, with Denmark at 34% of Beverage revenue, while public Danish-market data put 2025 retail soft-drinks at 966m liters; Harboe also reported wider Danish retail distribution and rising Danish market share, but not monthly CSD units. ([harboes.gcs-web.com](https://harboes.gcs-web.com/static-files/5b7da5bb-a45d-42fa-8a08-d0154dae2c44?utm_source=openai))  
Recommendation: plan against the midpoint, but hold flexible promo and replenishment cover toward the upper half of the range, especially on cola/zero-sugar SKUs, because Harboe’s distribution gains and the Danish shift toward sugar-free soft drinks make upside risk more costly than modest overstock. ([financialfilings.com](https://financialfilings.com/filings/harboes-bryggeri/annual-report/2025/6461316/?utm_source=openai))  
FORECAST=3900000"
v4-five-scenarios+e37111d3daaa,CSD,HARBOE,B_llm_data,0,6365899.7748,6300000.0,1.0351996910298542,ok,98.33,9968,5423,1792,5291,15391,1,0.234466,,"{""scenario"": ""B_data"", ""model"": ""gpt-5.5-2026-04-23"", ""temperature"": null, ""decoding"": ""temperature/top_p unsupported by the model; defaults used"", ""reasoning_effort"": ""medium"", ""prompt_schema_id"": ""v4-five-scenarios+e37111d3daaa"", ""run_at"": ""2026-09-11T14:59:44"", ""tool"": ""code_interpreter"", ""wrote_code"": true, ""target_month"": ""2026-03"", ""history_months"": 39, ""history_ends"": ""2025-12"", ""code_calls"": 10, ""via_sentinel"": true}","Forecast: 6,300,000 units  
Range: 4,600,000 to 8,500,000 units (90% interval)  
Confidence: medium-low -- the history has only three prior March observations, 2025 was more volatile than earlier years, and the March 2026 promo intensity is not yet known.  
Recommendation: plan base supply around 6.3M units, but keep flexible cover toward the upper half of the range if March promotions are confirmed near or above the recent March norm; monitor January-February sell-out closely and adjust orders early.  
FORECAST=6300000"
v4-five-scenarios+e37111d3daaa,CSD,HARBOE,C_llm_model,0,6365899.7748,4969049.5,21.94269976303366,ok,7.75,1034,131,0,0,1165,0,0.0091,,"{""scenario"": ""C_model"", ""model"": ""gpt-5.5-2026-04-23"", ""temperature"": null, ""decoding"": ""temperature/top_p unsupported by the model; defaults used"", ""reasoning_effort"": ""medium"", ""prompt_schema_id"": ""v4-five-scenarios+e37111d3daaa"", ""run_at"": ""2026-09-11T14:59:52"", ""tool"": ""forecast_demand"", ""wrote_code"": false, ""target_month"": ""2026-03"", ""tool_returned_forecast"": true, ""payload_complete"": true}","Forecast: 4,969,050 units
Range: 654,488 to 37,726,335 units (90% interval)
Confidence: low -- the model’s interval is very wide, indicating high uncertainty despite reasonable volume-weighted historical error.
Recommendation: plan close to the midpoint for base replenishment, but avoid locking in excessive forward stock; use phased buying and monitor early March sell-out closely, with contingency capacity if demand tracks toward the upper range.
FORECAST=4969050"
v4-five-scenarios+e37111d3daaa,CSD,HARBOE,D_prometheus_data,0,6365899.7748,6463116.0,1.5271403672555386,ok,144.99,56201,8857,0,0,65058,0,0.546715,,"{""scenario"": ""D_prometheus"", ""model"": ""gpt-5.5-2026-04-23"", ""temperature"": null, ""decoding"": ""temperature/top_p unsupported by the model; defaults used"", ""reasoning_effort"": ""medium"", ""prompt_schema_id"": ""v4-five-scenarios+e37111d3daaa"", ""run_at"": ""2026-09-11T15:02:17"", ""tool"": ""prometheus"", ""wrote_code"": true, ""target_month"": ""2026-03"", ""engine_available"": true, ""orchestrator"": ""prometheus_graph_engine"", ""via_sentinel"": true, ""sql_calls"": [], ""code_calls"": 4, ""tool_calls"": [""execute_code"", ""execute_code"", ""execute_code"", ""execute_code""], ""engine_verdict"": ""ok"", ""usage_reported"": true, ""sandbox_killed"": ""im5e7e21q8mnfyjkc8fkz"", ""coder_reasoning_effort"": ""medium"", ""coder_request_limit"": 40, ""vendor_coder_model"": ""gpt-5.5"", ""history_months"": 39, ""history_ends"": ""2025-12""}","HARBOE is forecast to sell 6,463,116 CSD units in Danish retail in March 2026, with a wide 90% interval reflecting volatile recent monthly sales.

Forecast: 6,463,116 units  
Range: 4,752,508 to 10,854,833 units (90% interval)  
Confidence: medium-low -- model estimates cluster around 6.3-6.7m units, but recent HARBOE sales history shows large upside volatility and promotion-linked spikes.  
Recommendation: HARBOE is a competitor brand, so Royal Unibrew should plan against the midpoint as the base competitor-pressure assumption, while holding contingency for the upper range if January-February run-rate or promo intensity signals strengthen.  
FORECAST=6463116"
v4-five-scenarios+e37111d3daaa,CSD,HARBOE,E_prometheus_model,0,6365899.7748,4969049.5,21.94269976303366,ok,45.56,28939,2041,0,0,30980,0,0.205925,,"{""scenario"": ""E_prometheus_model"", ""model"": ""gpt-5.5-2026-04-23"", ""temperature"": null, ""decoding"": ""temperature/top_p unsupported by the model; defaults used"", ""reasoning_effort"": ""medium"", ""prompt_schema_id"": ""v4-five-scenarios+e37111d3daaa"", ""run_at"": ""2026-09-11T15:03:03"", ""tool"": ""forecast_demand+prometheus"", ""wrote_code"": false, ""target_month"": ""2026-03"", ""engine_available"": true, ""orchestrator"": ""prometheus_graph_engine"", ""via_sentinel"": true, ""sql_calls"": [], ""code_calls"": 0, ""tool_calls"": [], ""engine_verdict"": ""ok"", ""usage_reported"": true, ""sandbox_killed"": null, ""coder_reasoning_effort"": ""medium"", ""coder_request_limit"": 40, ""vendor_coder_model"": ""gpt-5.5"", ""payload_complete"": true, ""tool_returned_forecast"": true, ""months_ahead"": 3}","Forecast: 4,969,050 units  
Range: 654,488 to 37,726,335 units (90% interval)  
Confidence: low -- the supplied model’s interval is very wide, with historical WMAPE of 18.4% and median MAPE of 41.4%, so the point forecast should be treated cautiously.  
Recommendation: HARBOE is a competitor brand, so for Royal Unibrew category planning use the midpoint only for total category volume assumptions, monitor early 2026 sell-out closely, and avoid committing Royal Unibrew space or activation decisions to the upper-bound scenario unless the market data starts confirming it.  
FORECAST=4969050"
v5-seven-scenarios+d22fe7cdc30e,CSD,HARBOE,A_llm_plain,0,6365899.7748,4900000.0,23.027377537467665,ok,119.5,77659,5163,0,4975,82822,0,0.543185,,"{""scenario"": ""A_plain"", ""model"": ""gpt-5.5-2026-04-23"", ""temperature"": null, ""decoding"": ""temperature/top_p unsupported by the model; defaults used"", ""reasoning_effort"": ""medium"", ""prompt_schema_id"": ""v5-seven-scenarios+d22fe7cdc30e"", ""run_at"": ""2026-09-11T17:24:52"", ""tool"": ""web_search"", ""wrote_code"": false, ""used_web"": true, ""via_sentinel"": true, ""target_month"": ""2026-03"", ""retrieval_suspected"": false}","Forecast: 4,900,000 units  
Range: 3,500,000 to 6,800,000 units (90% interval)  
Confidence: low-medium -- no internal sell-out data; the estimate is anchored on public Danish soft-drink retail volume, Harboe’s reported 8.1% value share in Danish sodavand, and its expanded 2025 distribution / early-2026 advertising, but unit conversion is sensitive to pack mix and promotion timing. ([backend.orbit.dtu.dk](https://backend.orbit.dtu.dk/ws/portalfiles/portal/422476614/Markeds-og-vareundersoegelse-af-energidrikke-i-Danmark.pdf?utm_source=openai))  
Recommendation: plan replenishment and shelf space against the midpoint, but secure supply and promo flexibility up to the upper half of the range because March 2026 likely benefited from broader distribution, campaign support, and pre-Easter demand.  
FORECAST=4900000"
v5-seven-scenarios+d22fe7cdc30e,CSD,HARBOE,B_llm_data,0,6365899.7748,6700000.0,5.248279693666663,ok,91.31,10967,4649,0,4530,15616,1,0.224305,,"{""scenario"": ""B_data"", ""model"": ""gpt-5.5-2026-04-23"", ""temperature"": null, ""decoding"": ""temperature/top_p unsupported by the model; defaults used"", ""reasoning_effort"": ""medium"", ""prompt_schema_id"": ""v5-seven-scenarios+d22fe7cdc30e"", ""run_at"": ""2026-09-11T17:26:24"", ""tool"": ""code_interpreter"", ""wrote_code"": true, ""target_month"": ""2026-03"", ""history_months"": 39, ""history_ends"": ""2025-12"", ""code_calls"": 15, ""via_sentinel"": true}","Forecast: 6,700,000 units  
Range: 5,000,000 to 8,900,000 units (90% interval)  
Confidence: medium-low -- the March seasonal signal is clear, but the history is short, 2025 was volatile, and future promo intensity is unknown.  
Recommendation: plan base supply around the midpoint, but reserve capacity and retailer allocation up toward the upper bound if March promo plans are confirmed or if early-2026 run-rate stays near late-2025 levels.  
FORECAST=6700000"
v5-seven-scenarios+d22fe7cdc30e,CSD,HARBOE,C_llm_model,0,6365899.7748,4969049.5,21.94269976303366,ok,6.69,1034,129,0,0,1163,0,0.00904,,"{""scenario"": ""C_model"", ""model"": ""gpt-5.5-2026-04-23"", ""temperature"": null, ""decoding"": ""temperature/top_p unsupported by the model; defaults used"", ""reasoning_effort"": ""medium"", ""prompt_schema_id"": ""v5-seven-scenarios+d22fe7cdc30e"", ""run_at"": ""2026-09-11T17:26:31"", ""tool"": ""forecast_demand"", ""wrote_code"": false, ""target_month"": ""2026-03"", ""tool_returned_forecast"": true, ""payload_complete"": true}","Forecast: 4,969,050 units
Range: 654,488 to 37,726,335 units (90% interval)
Confidence: low -- the model’s interval is very wide, indicating high uncertainty despite reasonable volume-weighted historical error.
Recommendation: plan initial inventory and production near the midpoint, but review recent sell-out, promotions, and distribution assumptions before committing; use staged replenishment or flexible supply rather than stocking to the upper bound.

FORECAST=4969050"
v5-seven-scenarios+d22fe7cdc30e,CSD,HARBOE,D_prometheus_data,0,6365899.7748,6379795.0,0.2182759027247923,ok,113.61,54353,8240,0,0,62593,0,0.518965,,"{""scenario"": ""D_prometheus"", ""model"": ""gpt-5.5-2026-04-23"", ""temperature"": null, ""decoding"": ""temperature/top_p unsupported by the model; defaults used"", ""reasoning_effort"": ""medium"", ""prompt_schema_id"": ""v5-seven-scenarios+d22fe7cdc30e"", ""run_at"": ""2026-09-11T17:28:24"", ""tool"": ""prometheus"", ""wrote_code"": true, ""target_month"": ""2026-03"", ""engine_available"": true, ""orchestrator"": ""prometheus_graph_engine"", ""via_sentinel"": true, ""sql_calls"": [], ""code_calls"": 4, ""tool_calls"": [""execute_code"", ""execute_code"", ""execute_code"", ""execute_code""], ""engine_verdict"": ""ok"", ""usage_reported"": true, ""sandbox_killed"": ""is8s2fy7xg0nqr7dfaiuc"", ""coder_reasoning_effort"": ""medium"", ""coder_request_limit"": 40, ""vendor_coder_model"": ""gpt-5.5"", ""history_months"": 39, ""history_ends"": ""2025-12""}","Forecast: 6,379,795 units  
Range: 4,597,579 to 8,637,841 units (90% interval)  
Confidence: medium-low to medium -- HARBOE is a competitor brand, the March history is short, promo intensity for March 2026 is unknown, and the prediction interval is wide.  
Recommendation: plan Royal Unibrew CSD activity against the midpoint, but protect availability and March promotional execution against the upper end of the range where HARBOE could put stronger pressure on category volume.  
FORECAST=6379795"
v5-seven-scenarios+d22fe7cdc30e,CSD,HARBOE,E_prometheus_model,0,6365899.7748,4969049.5,21.94269976303366,ok,41.65,29041,1897,0,0,30938,0,0.202115,,"{""scenario"": ""E_prometheus_model"", ""model"": ""gpt-5.5-2026-04-23"", ""temperature"": null, ""decoding"": ""temperature/top_p unsupported by the model; defaults used"", ""reasoning_effort"": ""medium"", ""prompt_schema_id"": ""v5-seven-scenarios+d22fe7cdc30e"", ""run_at"": ""2026-09-11T17:29:06"", ""tool"": ""forecast_demand+prometheus"", ""wrote_code"": false, ""target_month"": ""2026-03"", ""engine_available"": true, ""orchestrator"": ""prometheus_graph_engine"", ""via_sentinel"": true, ""sql_calls"": [], ""code_calls"": 0, ""tool_calls"": [], ""engine_verdict"": ""ok"", ""usage_reported"": true, ""sandbox_killed"": null, ""coder_reasoning_effort"": ""medium"", ""coder_request_limit"": 40, ""vendor_coder_model"": ""gpt-5.5"", ""payload_complete"": true, ""tool_returned_forecast"": true, ""months_ahead"": 3}","Forecast: 4,969,050 units  
Range: 654,488 to 37,726,335 units (90% interval)  
Confidence: low -- the supplied model has a wide prediction interval and weaker track record for HARBOE, so use this as directional rather than firm demand. HARBOE is a competitor brand, not Royal Unibrew.  
Recommendation: for Royal Unibrew planning, do not build plans around HARBOE’s midpoint alone; monitor March competitor activity closely and protect Royal Unibrew availability in CSD rather than making major trade-spend or volume decisions from this low-confidence forecast.  
FORECAST=4969050"
